"StationID","Visit Start Date","Local Characteristic Name","SampleDepth","Depth Units","Result Value/Text","MQL","UQL","Censored","ValueCen"
"NETN_ACAD_ABIN","06/26/2006","TN_mgL","stream",NA,"0.43",NA,NA,FALSE,"0.43"
"NETN_ACAD_ABIN","06/26/2006","TP_ugL","stream",NA,"*Present <QL","20",NA,TRUE,"20"
"NETN_ACAD_ABIN","08/30/2006","TN_mgL","stream",NA,"0.47",NA,NA,FALSE,"0.47"
"NETN_ACAD_ABIN","08/30/2006","TP_ugL","stream",NA,"14",NA,NA,FALSE,"14"
"NETN_ACAD_ABIN","05/13/2008","ANC_ueqL","stream",NA,"81.6",NA,NA,FALSE,"81.6"
"NETN_ACAD_ABIN","05/13/2008","TN_mgL","stream",NA,"0.167",NA,NA,FALSE,"0.167"
"NETN_ACAD_ABIN","05/13/2008","TP_ugL","stream",NA,"6",NA,NA,FALSE,"6"
"NETN_ACAD_ABIN","08/04/2008","ANC_ueqL","stream",NA,"101",NA,NA,FALSE,"101"
"NETN_ACAD_ABIN","08/04/2008","TN_mgL","stream",NA,"0.318",NA,NA,FALSE,"0.318"
"NETN_ACAD_ABIN","08/04/2008","TP_ugL","stream",NA,"9.6",NA,NA,FALSE,"9.6"
"NETN_ACAD_ABIN","05/04/2010","ANC_ueqL","stream",NA,"139",NA,NA,FALSE,"139"
"NETN_ACAD_ABIN","05/04/2010","TN_mgL","stream",NA,"0.247",NA,NA,FALSE,"0.247"
"NETN_ACAD_ABIN","05/04/2010","TP_ugL","stream",NA,"13",NA,NA,FALSE,"13"
"NETN_ACAD_ABIN","08/02/2010","ANC_ueqL","stream",NA,"188",NA,NA,FALSE,"188"
"NETN_ACAD_ABIN","08/02/2010","TN_mgL","stream",NA,"0.453",NA,NA,FALSE,"0.453"
"NETN_ACAD_ABIN","08/02/2010","TP_ugL","stream",NA,"16",NA,NA,FALSE,"16"
"NETN_ACAD_ABIN","05/09/2012","ANC_ueqL","stream",NA,"55.4",NA,NA,FALSE,"55.4"
"NETN_ACAD_ABIN","05/09/2012","Cl_ueqL","stream",NA,"74",NA,NA,FALSE,"74"
"NETN_ACAD_ABIN","05/09/2012","DOC_mgL","stream",NA,"5.29",NA,NA,FALSE,"5.29"
"NETN_ACAD_ABIN","05/09/2012","NO3_ueqL","stream",NA,"*Present <QL","1",NA,TRUE,"1"
"NETN_ACAD_ABIN","05/09/2012","SO4_ueqL","stream",NA,"29",NA,NA,FALSE,"29"
"NETN_ACAD_ABIN","05/09/2012","TN_mgL","stream",NA,"0.182",NA,NA,FALSE,"0.182"
"NETN_ACAD_ABIN","05/09/2012","TP_ugL","stream",NA,"6.6",NA,NA,FALSE,"6.6"
"NETN_ACAD_ABIN","08/06/2012","ANC_ueqL","stream",NA,"221",NA,NA,FALSE,"221"
"NETN_ACAD_ABIN","08/06/2012","Cl_ueqL","stream",NA,"106",NA,NA,FALSE,"106"
"NETN_ACAD_ABIN","08/06/2012","DOC_mgL","stream",NA,"7.23",NA,NA,FALSE,"7.23"
"NETN_ACAD_ABIN","08/06/2012","NO3_ueqL","stream",NA,"*Present <QL","1",NA,TRUE,"1"
"NETN_ACAD_ABIN","08/06/2012","SO4_ueqL","stream",NA,"25",NA,NA,FALSE,"25"
"NETN_ACAD_ABIN","08/06/2012","TN_mgL","stream",NA,"0.456",NA,NA,FALSE,"0.456"
"NETN_ACAD_ABIN","08/06/2012","TP_ugL","stream",NA,"20",NA,NA,FALSE,"20"
"NETN_ACAD_ABIN","05/13/2014","ANC_ueqL","stream",NA,"91.6",NA,NA,FALSE,"91.6"
"NETN_ACAD_ABIN","05/13/2014","Cl_ueqL","stream",NA,"91",NA,NA,FALSE,"91"
"NETN_ACAD_ABIN","05/13/2014","DOC_mgL","stream",NA,"4.33",NA,NA,FALSE,"4.33"
"NETN_ACAD_ABIN","05/13/2014","NO3_ueqL","stream",NA,"*Present <QL","1",NA,TRUE,"1"
"NETN_ACAD_ABIN","05/13/2014","SO4_ueqL","stream",NA,"31",NA,NA,FALSE,"31"
"NETN_ACAD_ABIN","05/13/2014","TN_mgL","stream",NA,"0.202",NA,NA,FALSE,"0.202"
"NETN_ACAD_ABIN","05/13/2014","TP_ugL","stream",NA,"6.8",NA,NA,FALSE,"6.8"
"NETN_ACAD_ABIN","08/14/2014","ANC_ueqL","stream",NA,"191.69",NA,NA,FALSE,"191.69"
"NETN_ACAD_ABIN","08/14/2014","Cl_ueqL","stream",NA,"97",NA,NA,FALSE,"97"
"NETN_ACAD_ABIN","08/14/2014","DOC_mgL","stream",NA,"5.48",NA,NA,FALSE,"5.48"
"NETN_ACAD_ABIN","08/14/2014","NO3_ueqL","stream",NA,"*Present <QL","1",NA,TRUE,"1"
"NETN_ACAD_ABIN","08/14/2014","SO4_ueqL","stream",NA,"1.5",NA,NA,FALSE,"1.5"
